"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","Cisco_7c:eb:3d","Cisco_7c:eb:3d","LOOP","60","Reply"
"2","10.000279","Cisco_7c:eb:3d","Cisco_7c:eb:3d","LOOP","60","Reply"
"3","20.000798","Cisco_7c:eb:3d","Cisco_7c:eb:3d","LOOP","60","Reply"
"4","30.061149","Cisco_7c:eb:3d","Cisco_7c:eb:3d","LOOP","60","Reply"
"5","30.069467","Cisco_7c:eb:3d","CDP/VTP/DTP/PAgP/UDLD","CDP","333","Device ID: gramirez-isdn.tivoli.com  Port ID: Ethernet0  "
"6","30.292923","10.0.0.6","151.164.1.8","DNS","78","Standard query 0x7d9e A picard.uthscsa.edu"
"7","30.612811","151.164.1.8","10.0.0.6","DNS","289","Standard query response 0x7d9e A picard.uthscsa.edu A 129.111.30.27 NS kenobi.uthscsa.edu NS jinn.uthscsa.edu NS dns1.njit.edu NS elzip.uthscsa.edu NS arwen.uthscsa.edu A 129.111.26.6 A 129.111.26.7 A 128.235.251.10 A 129.111.1.11 A 129.111.11.81"
"8","30.614993","10.1.1.1","129.111.30.27","IPv4","70","Fragmented IP protocol (proto=UDP 17, off=0, ID=00f2) [Reassembled in #9]"
"9","30.615348","10.1.1.1","129.111.30.27","UDP","38","31915  >  20197 [BAD UDP LENGTH 36 > IP PAYLOAD LENGTH] Len=28"
"10","35.285494","AddtronTechn_d9:7c:fd","Toshiba_cf:d9:cd","ARP","42","Who has 10.0.0.254? Tell 10.0.0.6"
"11","36.285487","AddtronTechn_d9:7c:fd","Toshiba_cf:d9:cd","ARP","42","Who has 10.0.0.254? Tell 10.0.0.6"
"12","37.285485","AddtronTechn_d9:7c:fd","Toshiba_cf:d9:cd","ARP","42","Who has 10.0.0.254? Tell 10.0.0.6"
"13","38.285500","AddtronTechn_d9:7c:fd","Broadcast","ARP","42","Who has 10.0.0.254? Tell 10.0.0.6"
"14","38.287366","Toshiba_cf:d9:cd","AddtronTechn_d9:7c:fd","ARP","60","10.0.0.254 is at 00:00:39:cf:d9:cd"
"15","40.061851","Cisco_7c:eb:3d","Cisco_7c:eb:3d","LOOP","60","Reply"
"16","47.973426","10.0.0.6","10.0.0.254","ICMP","98","Echo (ping) request  id=0xc41b, seq=0/0, ttl=64 (reply in 17)"
"17","47.977697","10.0.0.254","10.0.0.6","ICMP","98","Echo (ping) reply    id=0xc41b, seq=0/0, ttl=255 (request in 16)"
